date,code,name,open,high,low,close,changepct,volume,avg,avg01,avg12,avg012,avg123
20251110,OTC.TW,櫃買指數,265.83,267.22,254.53,257.26,-0.62,116395910000,257.29,258.53,260.83,259.72,259.5
20251107,OTC.TW,櫃買指數,264.48,267.22,254.53,258.86,-1.24,115097600000,259.79,260.83,259.39,259.5,261.05
20251106,OTC.TW,櫃買指數,262.17,267.22,254.53,262.11,1.16,140789200000,261.68,259.39,260.75,261.05,262.21
20251105,OTC.TW,櫃買指數,264.29,267.22,254.53,259.11,-0.72,144897740000,257.16,260.75,264.83,262.21,264.48
20251104,OTC.TW,櫃買指數,264.41,267.22,260.36,261,-1.76,149279830000,264.24,264.83,264.62,264.48,264.07
20251103,OTC.TW,櫃買指數,264.81,266.59,260.36,265.68,0.52,130504520000,265.51,264.62,263.44,264.07,263.99
20251031,OTC.TW,櫃買指數,263.77,267.64,260.36,264.31,0.87,142688500000,263.8,263.44,264.08,263.99,264.15
20251030,OTC.TW,櫃買指數,264.16,267.64,260.36,262.02,-0.78,152734700000,263.1,264.08,264.69,264.15,264.8
20251029,OTC.TW,櫃買指數,265.74,267.64,262.1,264.08,-0.04,142324030000,265.14,264.69,264.62,264.8,264.16
20251028,OTC.TW,櫃買指數,263.63,267.64,262.1,264.19,-0.2,153985630000,264.27,264.62,264.09,264.16,264.44
20251027,OTC.TW,櫃買指數,261.6,267.64,261.6,264.71,0.76,122205250000,265.07,264.09,264.09,264.44,264.81
20251023,OTC.TW,櫃買指數,263.2,266.95,261.12,262.72,-0.66,104114500000,262.94,264.09,265.6,264.81,264.86
20251022,OTC.TW,櫃買指數,261.02,266.95,261.02,264.47,-0.52,115850090000,265.13,265.6,264.73,264.86,263.87
20251021,OTC.TW,櫃買指數,256.26,266.95,256.26,265.85,0.99,130121090000,266.02,264.73,262.61,263.87,262.99
20251020,OTC.TW,櫃買指數,262.33,265.64,255.58,263.25,0.75,117923930000,263.31,262.61,262.83,262.99,261.5
20251017,OTC.TW,櫃買指數,263.76,265.64,255.58,261.28,-0.85,104448590000,261.83,262.83,261.37,261.5,261.45
20251016,OTC.TW,櫃買指數,265.64,267.81,255.58,263.52,1.14,136983790000,263.6,261.37,260.48,261.45,260.15
20251015,OTC.TW,櫃買指數,264.93,267.81,255.58,260.56,1.95,135452520000,259.12,260.48,260.62,260.15,262.26
20251014,OTC.TW,櫃買指數,264.14,267.81,255.58,255.58,-2.21,167798750000,261.58,260.62,262.69,262.26,263.36
20251013,OTC.TW,櫃買指數,262.75,267.81,256.1,261.36,-1.43,132877590000,259.41,262.69,265.27,263.36,265.24
20251009,OTC.TW,櫃買指數,262.07,267.81,262.07,265.15,-0.08,133871340000,265.94,265.27,264.93,265.24,264.56
20251008,OTC.TW,櫃買指數,261.86,266.11,261.38,265.35,0.19,141390610000,264.64,264.93,264.51,264.56,264.27
20251007,OTC.TW,櫃買指數,257.24,266.11,257.24,264.85,0.45,160654670000,265.19,264.51,263.71,264.27,263.4
20251003,OTC.TW,櫃買指數,262.94,265.25,255.71,263.66,0.27,125651680000,263.65,263.71,263.29,263.4,262.41
20251002,OTC.TW,櫃買指數,264.75,266.82,255.71,262.94,0.56,139676270000,263.76,263.29,261.64,262.41,260.37
20251001,OTC.TW,櫃買指數,265.62,266.82,255.71,261.47,-0.02,133303250000,262.79,261.64,259.05,260.37,261.18
20250930,OTC.TW,櫃買指數,266.47,268.26,255.71,261.52,1.75,111994740000,260.28,259.05,261.55,261.18,262.63
20250926,OTC.TW,櫃買指數,263.43,268.26,255.71,257.03,-2.32,130823020000,257.99,261.55,264.64,262.63,265.34
20250925,OTC.TW,櫃買指數,262.66,268.26,262.61,263.13,-0.66,145491530000,264.75,264.64,265.6,265.34,265.47
20250924,OTC.TW,櫃買指數,258.09,268.26,258.09,264.87,-0.25,156876550000,264.53,265.6,265.91,265.47,265.14
20250923,OTC.TW,櫃買指數,259.29,268.26,257.76,265.54,-0.19,174864080000,266.56,265.91,264.41,265.14,263.44
20250922,OTC.TW,櫃買指數,256.11,266.05,256.11,266.05,1.05,163153970000,265.22,264.41,262.6,263.44,261.53
20250919,OTC.TW,櫃買指數,258.11,264.54,254.72,263.28,0.32,176405540000,263.66,262.6,260.35,261.53,259.69
20250918,OTC.TW,櫃買指數,256.91,262.77,254.72,262.45,1.77,167456780000,261.48,260.35,258.69,259.69,258.06
20250917,OTC.TW,櫃買指數,260.88,262.26,254.72,257.89,-0.56,152557060000,259.11,258.69,257.53,258.06,257.95
20250916,OTC.TW,櫃買指數,259.95,262.26,254.72,259.33,1.37,150152380000,258.27,257.53,257.79,257.95,258.4
20250915,OTC.TW,櫃買指數,260.18,262.26,254.72,255.82,-0.88,146008330000,256.76,257.79,259.12,258.4,259.78
20250912,OTC.TW,櫃買指數,258.68,262.26,256.58,258.09,0.59,160448800000,258.73,259.12,260.26,259.78,260.22
20250911,OTC.TW,櫃買指數,254.76,262.26,254.76,256.58,-1.59,174526940000,259.47,260.26,260.58,260.22,260.32
20250910,OTC.TW,櫃買指數,254.26,261.6,254.18,260.73,0.44,179891340000,261.03,260.58,259.95,260.32,259.08
20250909,OTC.TW,櫃買指數,251.27,261.29,251.27,259.6,-0.07,173761430000,260.12,259.95,258.55,259.08,257.61
20250908,OTC.TW,櫃買指數,252.67,260.81,248.75,259.78,0.68,176353910000,259.78,258.55,256.42,257.61,255.39
20250905,OTC.TW,櫃買指數,254.99,258.06,248.75,258.03,1.51,162041680000,257.21,256.42,254.46,255.39,253.66
20250904,OTC.TW,櫃買指數,254.52,256.86,248.75,254.18,0.13,160522640000,255.62,254.46,252.68,253.66,253.02
20250903,OTC.TW,櫃買指數,253.84,256.75,248.75,253.85,1.12,156559320000,253.27,252.68,252.89,253.02,253.81
20250902,OTC.TW,櫃買指數,250.67,256.75,248.75,251.05,-0.52,164420570000,252.11,252.89,254.7,253.81,254.6
20250901,OTC.TW,櫃買指數,247.47,256.75,247.4,252.37,-1.03,155859740000,253.72,254.7,255.03,254.6,254.46
20250829,OTC.TW,櫃買指數,244.96,256.69,244.96,255,0.4,159257640000,255.65,255.03,253.84,254.46,252.43
20250828,OTC.TW,櫃買指數,245.59,255.35,244.07,253.99,0.06,160141820000,254.42,253.84,251.28,252.43,250.28
20250827,OTC.TW,櫃買指數,241.77,254.19,241.77,253.83,1.42,146011980000,253.2,251.28,248.55,250.28,247.54
20250826,OTC.TW,櫃買指數,246.73,250.28,241.04,250.28,1.13,129246490000,249.11,248.55,246.7,247.54,246.36
20250825,OTC.TW,櫃買指數,248.51,249.93,241.04,247.48,1.37,117754450000,247.94,246.7,245.63,246.36,244.69
20250822,OTC.TW,櫃買指數,246.01,249.93,241.04,244.14,-0.63,126335350000,245.55,245.63,244.29,244.69,245.7
20250821,OTC.TW,櫃買指數,245.68,249.93,241.04,245.68,1.81,126880270000,245.7,244.29,245.7,245.7,
20250820,OTC.TW,櫃買指數,243.65,249.93,241.04,241.32,-2.29,145860840000,243.06,245.7,,,
20250819,OTC.TW,櫃買指數,242.77,249.93,242.13,246.97,-0.55,167812780000,248,,,,
